problem_type;initial_state;goal_state;cstar
pancake;[1, 13, 11, 10, 5, 4, 7, 6, 9, 12, 3, 8, 2, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];11
pancake;[1, 8, 10, 2, 9, 13, 5, 14, 11, 4, 3, 7, 12, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[11, 13, 1, 3, 8, 5, 4, 2, 9, 10, 7, 14, 12, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[1, 13, 5, 7, 14, 6, 9, 3, 11, 8, 12, 2, 10, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];15
pancake;[4, 11, 6, 7, 13, 14, 3, 9, 12, 8, 5, 10, 1, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[5, 7, 3, 4, 14, 12, 1, 13, 11, 8, 2, 6, 10, 9];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[10, 3, 12, 7, 14, 6, 1, 11, 9, 13, 2, 4, 8, 5];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[13, 7, 3, 9, 5, 6, 12, 11, 2, 10, 8, 4, 14, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[6, 4, 13, 10, 3, 14, 11, 12, 7, 2, 1, 5, 8, 9];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[14, 1, 2, 10, 3, 11, 13, 9, 12, 8, 4, 6, 7, 5];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[6, 8, 5, 11, 9, 2, 1, 7, 14, 13, 4, 3, 12, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[12, 5, 10, 4, 11, 7, 3, 6, 2, 8, 1, 9, 13, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[7, 14, 3, 12, 4, 9, 11, 8, 1, 5, 10, 13, 6, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[10, 1, 2, 14, 8, 9, 13, 3, 7, 5, 4, 6, 12, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[11, 5, 9, 8, 2, 10, 3, 7, 6, 12, 4, 1, 13, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];11
pancake;[2, 8, 13, 3, 14, 11, 1, 9, 5, 12, 6, 10, 7, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[5, 1, 3, 7, 2, 12, 4, 9, 8, 6, 11, 14, 10, 13];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[12, 3, 1, 5, 10, 14, 6, 11, 8, 7, 13, 2, 4, 9];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[7, 4, 6, 2, 10, 11, 8, 13, 14, 3, 9, 12, 1, 5];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[12, 1, 13, 9, 14, 3, 4, 11, 7, 5, 10, 6, 8, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
