problem_type;initial_state;goal_state;cstar
pancake;[3, 10, 14, 7, 4, 5, 11, 9, 6, 12, 8, 2, 13, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[12, 10, 1, 2, 13, 8, 6, 4, 9, 5, 7, 11, 3, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[10, 2, 6, 7, 8, 12, 9, 1, 4, 14, 11, 13, 3, 5];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[14, 11, 5, 7, 3, 4, 8, 13, 2, 6, 9, 12, 1, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[1, 11, 7, 13, 10, 14, 3, 9, 6, 5, 8, 4, 12, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[13, 1, 12, 3, 6, 9, 4, 14, 10, 5, 2, 7, 11, 8];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[3, 8, 7, 9, 6, 10, 1, 13, 12, 5, 14, 2, 4, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[9, 13, 7, 12, 10, 1, 3, 11, 5, 14, 8, 4, 2, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[14, 6, 3, 10, 2, 11, 4, 12, 9, 1, 8, 5, 13, 7];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[14, 1, 10, 7, 8, 5, 4, 6, 12, 2, 9, 3, 13, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[7, 5, 11, 13, 12, 8, 3, 2, 10, 14, 4, 6, 9, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[8, 4, 7, 11, 5, 10, 3, 1, 12, 2, 9, 14, 13, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[8, 14, 13, 2, 7, 1, 4, 9, 5, 3, 12, 10, 11, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[14, 6, 9, 7, 11, 5, 2, 10, 1, 3, 4, 13, 12, 8];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[9, 10, 2, 5, 7, 13, 3, 14, 11, 8, 12, 1, 6, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[5, 1, 14, 8, 9, 7, 6, 10, 13, 11, 3, 2, 4, 12];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[13, 2, 12, 1, 8, 10, 7, 6, 3, 11, 4, 5, 9, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[8, 10, 5, 12, 3, 1, 2, 11, 13, 7, 14, 4, 6, 9];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[11, 13, 4, 10, 3, 9, 2, 7, 8, 1, 6, 14, 5, 12];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[14, 8, 7, 10, 13, 5, 6, 3, 9, 12, 4, 1, 2, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[8, 4, 11, 2, 10, 12, 14, 13, 6, 1, 5, 9, 7, 3];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[2, 13, 14, 10, 4, 3, 9, 8, 12, 11, 6, 1, 5, 7];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[5, 10, 4, 6, 13, 3, 8, 7, 1, 11, 12, 14, 2, 9];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[13, 10, 11, 1, 14, 9, 7, 8, 5, 12, 2, 6, 3, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[9, 13, 7, 2, 5, 6, 8, 14, 3, 12, 11, 1, 10, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[3, 13, 5, 4, 9, 12, 14, 11, 1, 7, 6, 8, 10, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[1, 10, 12, 5, 8, 3, 14, 7, 11, 4, 6, 9, 13, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[1, 12, 2, 3, 8, 5, 10, 13, 14, 9, 6, 4, 11, 7];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[8, 3, 2, 5, 1, 10, 6, 12, 9, 4, 13, 7, 11, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
pancake;[9, 1, 5, 3, 2, 6, 7, 11, 14, 13, 4, 10, 8, 12];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];
