problem_type;initial_state;goal_state;cstar
tile;[6, 3, 4, 0, 9, 7, 1, 8, 11, 2, 5, 10];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];33
tile;[5, 7, 2, 9, 10, 6, 4, 8, 3, 1, 11, 0];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];37
tile;[11, 8, 7, 4, 10, 2, 0, 6, 9, 1, 5, 3];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];40
tile;[8, 10, 5, 2, 11, 1, 6, 0, 4, 9, 7, 3];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];35
tile;[11, 0, 3, 2, 7, 5, 9, 4, 10, 6, 1, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];33
tile;[0, 5, 3, 8, 9, 11, 1, 4, 2, 7, 10, 6];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];
tile;[7, 2, 5, 8, 6, 10, 9, 4, 3, 0, 1, 11];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];
tile;[10, 4, 8, 7, 1, 9, 2, 6, 5, 11, 3, 0];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];
tile;[7, 5, 2, 8, 9, 6, 11, 3, 4, 0, 1, 10];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];
tile;[0, 10, 11, 1, 4, 5, 9, 6, 7, 2, 3, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11];
