problem_type;initial_state;goal_state;cstar
toh;['A', 'C', 'C', 'A', 'D', 'D', 'B', 'C', 'D', 'B', 'B', 'D'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
toh;['A', 'A', 'A', 'D', 'B', 'C', 'B', 'D', 'D', 'A', 'B', 'A'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
toh;['B', 'C', 'B', 'A', 'D', 'C', 'B', 'C', 'B', 'B', 'C', 'C'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
toh;['A', 'D', 'B', 'D', 'A', 'A', 'C', 'A', 'D', 'B', 'B', 'D'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
toh;['D', 'C', 'C', 'D', 'D', 'D', 'B', 'B', 'D', 'A', 'B', 'B'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
toh;['C', 'A', 'C', 'D', 'B', 'D', 'A', 'B', 'C', 'C', 'D', 'C'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
toh;['D', 'C', 'C', 'D', 'C', 'D', 'B', 'C', 'B', 'A', 'C', 'C'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
toh;['D', 'B', 'D', 'D', 'C', 'A', 'C', 'D', 'A', 'D', 'A', 'A'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
toh;['A', 'A', 'C', 'A', 'C', 'B', 'C', 'C', 'C', 'C', 'C', 'C'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
toh;['D', 'B', 'C', 'A', 'D', 'C', 'D', 'D', 'B', 'B', 'B', 'A'];['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];
